Year,"Top 1 author","Top 1 lines added","Top 2 author","Top 2 lines added","Top 3 author","Top 3 lines added","Top 4 author","Top 4 lines added","Top 5 author","Top 5 lines added"
2021,"Christian Flothmann",108,"Fabien Potencier",58,"Oskar Stark",4,"Simon Berger",3,LoginovIlya,2
2020,"Christian Flothmann",169,"Thomas Calvet",145,"Nicolas Grekas",103,"Maxime Steinhausser",81,"Markus Fasselt",34
2019,"Fabien Potencier",1843,"Christian Flothmann",579,"Jérémy Derussé",83,"Jan Schädlich",57,natepage,49
2017,"Christian Flothmann",1991,"Guilhem N",337,"Guilhem Niot",238,"Richard Bradley",88,"Fabien Potencier",81
2018,"Christian Flothmann",80,Anto,51,"Alex Pott",46,"Christophe Coevoet",37,"Yonel Ceruto",29
2014,"Christian Flothmann",246,"Nicolas Grekas",211,"Zachary Tong",142,sun,96,"Tobias Schultze",74
2016,"Christian Flothmann",1383,"Robin Chalas",333,"Paráda József",117,"Alex Pott",90,"Jules Pietri",63
2015,"Christian Flothmann",447,"Fabien Potencier",110,maxime.steinhausser,63,"Abdellatif Ait boudad",46,"Peter Thompson",42
2013,"Erin Millard",187,"Fabien Potencier",158,"Jean-François Simon",104,"Eddie Jaoude",49,"Nikita Konstantinov",33
2012,"Fabien Potencier",3853,"Włodzimierz Gajda",181,sun,43,"Paul Matthews",43,"Romain Neutron",27
2011,"Fabien Potencier",340,"Matthew Lewinski",237,"Lukas Kahwe Smith",23,"Igor Wiedler",22,"Dominique Bongiraud",15
2010,"Fabien Potencier",1137,"Kris Wallsmith",0,,,,,,
